annual_income,credit_score,employment_length,loan_amount,loan_term,interest_rate,home_ownership,purpose,previous_defaults,open_credit_lines,debt_to_income,default
61300.0,678,5.0,17300.0,36,15.76,MORTGAGE,other,0,14,41.8,0
46100.0,647,15.0,17600.0,36,14.55,RENT,debt_consolidation,1,4,50.5,1
65600.0,669,3.0,5000.0,36,13.0,OWN,debt_consolidation,0,8,13.1,0
97300.0,726,1.0,12800.0,36,11.59,MORTGAGE,credit_card,0,8,29.2,0
44100.0,763,7.0,7800.0,36,12.99,MORTGAGE,small_business,0,8,30.2,0
44100.0,717,5.0,5400.0,36,13.03,MORTGAGE,debt_consolidation,0,5,26.4,0
99800.0,687,15.0,8900.0,36,10.52,RENT,debt_consolidation,0,8,12.8,0
69200.0,777,1.0,7000.0,60,11.14,OWN,other,0,7,20.7,0
39700.0,660,10.0,17300.0,60,20.2,RENT,medical,0,2,56.4,0
62600.0,747,3.0,14100.0,36,13.09,MORTGAGE,debt_consolidation,1,10,23.5,0
39800.0,661,7.0,6100.0,36,15.16,MORTGAGE,credit_card,0,12,17.4,0
39800.0,708,0.0,7600.0,36,15.98,OWN,credit_card,2,9,30.0,0
54700.0,673,7.0,9000.0,36,15.6,RENT,medical,1,4,28.2,0
20700.0,676,7.0,10500.0,36,16.35,MORTGAGE,home_improvement,0,9,61.0,0
22600.0,655,3.0,18100.0,60,17.64,MORTGAGE,major_purchase,1,12,65.0,0
38100.0,767,2.0,15500.0,60,15.97,RENT,other,1,9,41.1,0
31100.0,632,5.0,11200.0,60,22.04,RENT,credit_card,2,7,58.3,1
56500.0,632,10.0,9600.0,36,15.26,RENT,debt_consolidation,0,7,26.4,0
32600.0,818,3.0,4500.0,36,12.09,RENT,credit_card,1,6,20.0,0
26000.0,744,2.0,20900.0,36,16.43,RENT,medical,0,6,65.0,0
94800.0,525,2.0,8700.0,36,15.23,MORTGAGE,home_improvement,0,16,3.7,0
44300.0,643,20.0,23800.0,36,16.03,MORTGAGE,medical,0,14,61.1,0
50500.0,562,3.0,12100.0,36,19.1,OWN,medical,1,11,38.0,1
25800.0,618,0.0,30100.0,60,22.17,MORTGAGE,credit_card,0,18,65.0,1
38400.0,476,10.0,14800.0,60,22.83,RENT,credit_card,0,7,49.4,1
51500.0,671,7.0,5300.0,36,13.94,OWN,home_improvement,0,8,23.1,0
29200.0,606,1.0,8000.0,60,16.39,MORTGAGE,debt_consolidation,0,6,26.3,0
58100.0,684,20.0,10100.0,36,12.3,MORTGAGE,credit_card,0,12,23.1,0
37400.0,574,7.0,7100.0,36,17.09,RENT,debt_consolidation,0,10,34.5,0
43000.0,685,5.0,9100.0,36,14.31,OWN,medical,0,8,23.7,0
37400.0,653,,5500.0,36,13.72,RENT,other,0,13,16.8,0
112800.0,778,15.0,11000.0,36,9.23,RENT,debt_consolidation,0,9,24.9,0
48700.0,772,2.0,12300.0,36,12.78,MORTGAGE,home_improvement,0,5,37.0,0
30500.0,731,3.0,6600.0,60,15.89,MORTGAGE,home_improvement,1,7,37.3,0
71000.0,659,1.0,28900.0,36,15.84,RENT,major_purchase,0,13,57.6,0
28300.0,809,10.0,11300.0,60,16.32,MORTGAGE,small_business,0,11,44.7,0
53900.0,579,7.0,7300.0,36,18.06,MORTGAGE,debt_consolidation,0,7,20.4,1
20300.0,589,7.0,4800.0,36,13.95,MORTGAGE,debt_consolidation,0,7,26.9,0
27000.0,675,2.0,11300.0,36,18.36,RENT,debt_consolidation,0,8,44.4,0
53600.0,827,7.0,9600.0,36,10.85,RENT,other,0,7,33.0,0
68300.0,667,10.0,16200.0,36,15.76,MORTGAGE,credit_card,0,14,30.7,0
53000.0,668,3.0,10200.0,36,14.61,MORTGAGE,other,0,9,31.1,0
46500.0,586,10.0,6000.0,60,19.11,RENT,credit_card,1,13,27.5,0
42800.0,741,,25200.0,36,14.84,MORTGAGE,credit_card,0,9,61.9,0
25200.0,742,10.0,13600.0,36,16.8,RENT,major_purchase,1,5,65.0,0
35500.0,731,0.0,9600.0,36,11.05,RENT,major_purchase,0,9,24.8,0
39800.0,639,5.0,11900.0,60,15.8,OWN,debt_consolidation,0,5,38.9,0
78900.0,634,20.0,13900.0,36,15.2,RENT,debt_consolidation,0,13,24.5,0
57200.0,596,20.0,5400.0,36,15.09,MORTGAGE,debt_consolidation,1,4,10.2,0
22200.0,685,3.0,11800.0,36,16.43,RENT,major_purchase,0,7,61.0,0
56700.0,610,4.0,8700.0,36,16.74,RENT,major_purchase,0,8,37.7,1
41200.0,603,0.0,14100.0,60,20.23,OWN,debt_consolidation,0,7,47.3,1
36100.0,652,15.0,7600.0,36,13.94,MORTGAGE,debt_consolidation,0,14,25.9,0
64600.0,648,5.0,8100.0,60,14.51,MORTGAGE,credit_card,0,11,17.4,1
78000.0,645,4.0,25100.0,36,15.15,MORTGAGE,credit_card,0,14,40.1,0
74500.0,710,1.0,20200.0,36,14.55,RENT,credit_card,1,12,41.8,0
33600.0,685,20.0,2100.0,60,14.42,MORTGAGE,other,0,9,9.3,0
42700.0,661,5.0,19500.0,36,15.39,RENT,major_purchase,0,10,50.9,0
56900.0,692,3.0,10500.0,60,17.35,MORTGAGE,debt_consolidation,0,11,25.1,0
76000.0,616,3.0,7700.0,36,12.69,MORTGAGE,debt_consolidation,0,7,8.8,0
39500.0,687,2.0,6600.0,36,14.32,RENT,debt_consolidation,1,10,29.9,0
45100.0,690,7.0,6800.0,36,12.02,OWN,debt_consolidation,1,5,28.0,0
